Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
England,422,137.0,3.08,-44,3,draw,West Indies,St John's,2004-04-10,0,5
South Africa,422,126.0,3.34,530,3,won,New Zealand,Johannesburg,2007-11-08,1,3
Australia,422,121.83333333333331,3.46,-20,3,lost,South Africa,Cape Town,2009-03-19,0,10
Pakistan,422,162.5,2.59,3,2,lost,Sri Lanka,Abu Dhabi,2017-09-28,0,10
Australia,421,167.66666666666666,2.51,134,2,won,South Africa,Sydney,1998-01-02,0,10
South Africa,421,153.66666666666666,2.73,163,2,won,England,Cape Town,2000-01-02,0,10
Pakistan,421,133.83333333333334,3.14,450,3,won,Sri Lanka,Karachi,2000-03-12,0,10
Zimbabwe,421,147.66666666666666,2.85,167,2,won,Bangladesh,Harare,2001-04-26,1,9
England,421,170.0,2.47,128,3,draw,New Zealand,Dunedin,2013-03-06,0,6
India,421,120.66666666666669,3.48,457,3,draw,South Africa,Johannesburg,2013-12-18,0,10
Sri Lanka,421,121.66666666666669,3.46,421,1,draw,South Africa,Colombo (SSC),2014-07-24,0,10
South Africa,421,122.66666666666669,3.43,92,2,won,West Indies,Cape Town,2015-01-02,0,10
England,421,117.16666666666669,3.59,286,2,won,Sri Lanka,Galle,2021-01-14,0,10
Sri Lanka,420,138.0,3.04,420,1,draw,India,Kanpur,1986-12-17,0,10
South Africa,420,152.5,2.75,420,1,draw,Sri Lanka,Durban,2000-12-26,0,10
West Indies,419,120.16666666666669,3.48,419,1,draw,England,Lord's,1991-06-20,0,10
England,419,151.16666666666666,2.77,419,1,won,West Indies,The Oval,1991-08-08,0,10
New Zealand,419,159.16666666666666,2.63,21,2,draw,Australia,Perth,1993-11-12,1,9
Australia,419,121.83333333333331,3.43,66,2,lost,England,Adelaide,1995-01-26,0,10
Australia,419,120.5,3.47,121,2,won,New Zealand,Wellington,2000-03-24,0,10
Pakistan,419,153.66666666666666,2.72,274,3,draw,West Indies,Bridgetown,2000-05-18,1,9
Zimbabwe,419,178.0,2.35,419,1,draw,South Africa,Bulawayo,2001-09-14,1,9
South Africa,419,118.16666666666669,3.54,8,2,lost,England,Johannesburg,2005-01-13,0,10
Australia,419,108.5,3.86,260,2,won,England,Melbourne,2006-12-26,0,10
Bangladesh,419,117.16666666666669,3.57,419,1,lost,England,Mirpur,2010-03-20,0,10
England,419,121.5,3.44,419,1,won,Bangladesh,Manchester,2010-06-04,0,10
South Africa,419,139.33333333333334,3.0,419,1,draw,England,Leeds,2012-08-02,0,10
Pakistan,419,149.5,2.8,341,3,won,Zimbabwe,Harare,2013-09-03,1,9
Sri Lanka,419,154.83333333333334,2.7,419,1,won,Pakistan,Abu Dhabi,2017-09-28,0,10
West Indies,418,126.16666666666669,3.31,418,1,won,England,Bridgetown,1986-03-21,0,10
West Indies,418,142.66666666666666,2.92,418,1,won,New Zealand,Auckland,1987-02-27,1,9
Sri Lanka,418,166.5,2.51,51,2,draw,Australia,Brisbane,1989-12-08,0,10
India,418,107.0,3.9,347,3,won,Australia,Chennai,1998-03-06,1,4
South Africa,418,124.66666666666669,3.35,418,1,won,Sri Lanka,Cape Town,1998-03-19,0,10
Sri Lanka,418,158.66666666666666,2.63,418,1,won,Zimbabwe,Galle,2002-01-12,0,10
West Indies,418,128.83333333333334,3.24,1,4,won,Australia,St John's,2003-05-09,0,7
England,418,110.66666666666669,3.77,144,2,lost,Pakistan,Multan,2005-11-12,0,10
South Africa,418,153.33333333333334,2.72,418,1,draw,England,Centurion,2009-12-16,0,10
Pakistan,418,167.0,2.5,418,1,won,New Zealand,Dubai (DSC),2018-11-24,1,5
England,417,188.83333333333331,2.2,-136,2,draw,India,Kanpur,1985-01-31,0,10
West Indies,417,148.5,2.8,-23,2,draw,England,Nottingham,1995-08-10,0,10
Pakistan,417,118.66666666666669,3.51,201,2,won,West Indies,Karachi,1997-12-06,0,10
South Africa,417,150.16666666666666,2.77,225,2,won,Zimbabwe,Bloemfontein,1999-10-29,0,10
Australia,417,104.0,4.0,417,3,lost,West Indies,St John's,2003-05-09,0,10
England,417,107.16666666666669,3.89,-92,3,lost,South Africa,Lord's,2003-07-31,0,10
South Africa,417,117.83333333333331,3.53,104,2,won,Pakistan,Centurion,2007-01-11,0,10
South Africa,417,122.0,3.41,417,1,draw,West Indies,Gqeberha,2014-12-26,1,8
Pakistan,417,113.16666666666669,3.68,117,2,won,Sri Lanka,Galle,2015-06-17,0,10
India,417,138.33333333333334,3.01,134,2,won,England,Mohali,2016-11-26,0,10
India,416,128.5,3.23,50,2,draw,New Zealand,Hamilton,1999-01-02,0,10
England,416,127.16666666666669,3.27,416,1,won,Zimbabwe,Chester-le-Street,2003-06-05,0,10
Bangladesh,416,135.5,3.07,416,1,draw,West Indies,Gros Islet,2004-05-28,0,10
West Indies,416,116.66666666666669,3.56,-152,2,lost,England,Lord's,2004-07-22,0,10
Sri Lanka,416,130.5,3.18,416,1,won,New Zealand,Colombo (SSC),2009-08-26,0,10
England,416,128.66666666666666,3.23,416,1,draw,Sri Lanka,Lord's,2016-06-09,0,10
India,416,140.16666666666666,2.96,416,1,won,West Indies,Kingston,2019-08-30,0,10
Australia,416,146.33333333333334,2.84,416,1,won,New Zealand,Perth,2019-12-12,0,10
Sri Lanka,415,98.66666666666669,4.2,372,3,draw,India,Colombo (SSC),1997-08-09,1,7
England,415,135.83333333333334,3.05,332,2,won,Zimbabwe,Lord's,2000-05-18,0,10
West Indies,415,103.16666666666669,4.02,627,3,won,England,Bridgetown,2019-01-23,1,6
India,414,131.16666666666666,3.15,414,1,lost,South Africa,Cape Town,2007-01-02,0,10
South Africa,414,119.33333333333331,3.46,1,4,won,Australia,Perth,2008-12-17,0,4
West Indies,414,154.0,2.68,414,1,won,Sri Lanka,Port of Spain,2018-06-06,1,8
New Zealand,413,169.83333333333334,2.43,157,2,won,England,Nottingham,1986-08-07,0,10
Bangladesh,413,126.33333333333331,3.26,-107,4,lost,Sri Lanka,Mirpur,2008-12-26,0,10
India,413,87.0,4.74,414,3,won,Bangladesh,Chattogram,2010-01-17,1,8
Sri Lanka,413,153.5,2.69,413,1,draw,Pakistan,Sharjah,2011-11-03,0,10
England,413,121.5,3.39,86,2,won,India,Wankhede,2012-11-23,0,10
India,412,122.83333333333331,3.35,32,3,lost,England,Chennai,1985-01-13,0,10
India,412,129.0,3.19,78,3,draw,Sri Lanka,Ahmedabad,2009-11-16,0,4
Zimbabwe,412,150.66666666666666,2.73,412,1,lost,Pakistan,Bulawayo,2011-09-01,0,10
New Zealand,412,153.0,2.69,412,1,won,Sri Lanka,Colombo (PSS),2012-11-25,0,10
New Zealand,411,145.83333333333334,2.81,411,1,won,South Africa,Johannesburg,1994-11-25,0,10
Sri Lanka,411,168.66666666666666,2.43,337,3,draw,New Zealand,Dunedin,1995-03-18,0,10
New Zealand,411,145.16666666666666,2.83,231,2,won,Zimbabwe,Wellington,1998-02-19,0,10
India,411,150.16666666666666,2.73,106,2,won,South Africa,Eden Gardens,2004-11-28,0,10
England,411,124.0,3.31,411,1,won,South Africa,Johannesburg,2005-01-13,1,8
Australia,411,132.0,3.11,237,2,draw,Sri Lanka,Pallekele,2011-09-08,1,7
South Africa,411,122.0,3.36,231,2,won,Sri Lanka,Centurion,2011-12-15,0,10
India,410,150.5,2.72,410,1,draw,South Africa,Johannesburg,1997-01-16,0,10
West Indies,410,133.83333333333334,3.06,-151,2,lost,South Africa,Johannesburg,2003-12-12,0,10
India,410,77.33333333333333,5.3,-269,2,draw,Pakistan,Lahore,2006-01-13,0,1
Sri Lanka,410,104.5,3.92,-96,4,lost,Australia,Hobart,2007-11-16,0,10
Pakistan,409,116.83333333333331,3.5,409,1,draw,India,Karachi,1989-11-15,0,10
India,409,120.16666666666669,3.4,86,2,draw,Australia,Brisbane,2003-12-04,0,10
New Zealand,409,143.33333333333334,2.85,409,1,lost,England,Leeds,2004-06-03,0,10
South Africa,409,103.33333333333331,3.95,409,1,won,Pakistan,Centurion,2013-02-22,0,10
West Indies,409,142.33333333333334,2.87,409,1,won,Bangladesh,Mirpur,2021-02-11,0,10
Australia,408,149.83333333333334,2.72,132,2,won,England,Birmingham,1993-08-05,0,10
West Indies,408,119.0,3.42,-168,2,lost,Australia,Port of Spain,2003-04-19,0,10
England,408,122.66666666666669,3.32,-186,2,draw,South Africa,Birmingham,2003-07-24,0,10
West Indies,408,133.66666666666666,3.05,408,1,won,South Africa,Gqeberha,2007-12-26,0,10
Bangladesh,408,97.5,4.18,-145,2,lost,New Zealand,Hamilton,2010-02-15,0,10
Australia,408,141.83333333333334,2.87,408,1,lost,India,Mohali,2013-03-14,0,10
India,408,109.66666666666669,3.72,408,1,lost,Australia,Brisbane,2014-12-17,0,10
West Indies,407,123.0,3.3,173,2,won,England,Kingston,1994-02-19,0,10
New Zealand,407,112.33333333333331,3.62,303,2,won,Pakistan,Hamilton,2001-03-27,1,4
England,407,144.5,2.81,407,1,draw,India,Ahmedabad,2001-12-11,0,10
Australia,407,117.83333333333331,3.45,310,2,won,Bangladesh,Darwin,2003-07-18,1,7
Sri Lanka,407,127.16666666666669,3.2,6,2,lost,Australia,Colombo (SSC),2004-03-24,0,10
Pakistan,407,126.5,3.21,-268,2,lost,India,Multan,2004-03-28,0,10
India,407,111.16666666666669,3.66,407,1,won,Pakistan,Eden Gardens,2005-03-16,0,10
India,407,104.0,3.91,421,3,won,Pakistan,Eden Gardens,2005-03-16,1,9
England,407,79.33333333333333,5.13,407,1,won,Australia,Birmingham,2005-08-04,0,10
New Zealand,407,134.83333333333334,3.01,105,3,lost,Australia,Wellington,2010-03-19,0,10
Sri Lanka,407,154.0,2.64,104,3,lost,New Zealand,Christchurch,2014-12-26,0,10
Pakistan,407,138.66666666666666,2.93,121,2,won,West Indies,Kingston,2017-04-21,0,10
New Zealand,406,163.0,2.49,9,2,draw,Sri Lanka,Colombo (CCC),1987-04-16,0,5
England,406,151.66666666666666,2.67,30,2,draw,Zimbabwe,Bulawayo,1996-12-18,0,10
South Africa,406,146.83333333333334,2.76,406,1,won,West Indies,Cape Town,1999-01-02,1,8
Sri Lanka,406,141.83333333333334,2.86,136,3,lost,Pakistan,Karachi,2004-10-28,0,10
Australia,406,109.66666666666669,3.7,257,2,won,West Indies,Hobart,2005-11-17,0,10
Australia,406,107.0,3.79,-115,4,lost,England,Lord's,2009-07-16,0,10
Australia,406,145.0,2.8,-43,2,won,West Indies,Bridgetown,2012-04-07,1,9
England,406,154.5,2.62,76,3,lost,India,Ahmedabad,2012-11-15,0,10
South Africa,406,90.83333333333331,4.46,487,3,won,Sri Lanka,Gqeberha,2016-12-26,1,6
West Indies,406,137.5,2.95,363,2,won,Bangladesh,North Sound,2018-07-04,0,10
Zimbabwe,406,115.5,3.51,406,1,draw,Sri Lanka,Harare,2020-01-27,0,10
Australia,405,118.16666666666669,3.42,405,1,won,India,Melbourne,1999-12-26,0,10
Pakistan,405,139.66666666666666,2.89,405,1,lost,England,Karachi,2000-12-07,0,10
West Indies,405,111.33333333333331,3.63,405,1,lost,Australia,Adelaide,2005-11-25,0,10
Sri Lanka,405,108.0,3.75,520,3,won,Bangladesh,Mirpur,2008-12-26,1,6
India,405,108.16666666666669,3.74,-23,2,won,Australia,Mohali,2010-10-01,0,10
Pakistan,404,109.16666666666669,3.7,322,3,draw,Australia,Lahore,1994-11-01,0,10
West Indies,404,112.0,3.6,30,2,lost,Pakistan,Kingston,2005-06-03,0,10
India,403,118.0,3.41,403,1,draw,Pakistan,Eden Gardens,1987-02-11,0,10
New Zealand,403,184.16666666666663,2.18,-213,2,draw,Pakistan,Auckland,1989-02-24,0,10
Australia,403,108.0,3.73,403,1,won,West Indies,St John's,1991-04-27,0,10
New Zealand,403,161.66666666666666,2.49,-58,2,draw,Zimbabwe,Bulawayo,1997-09-25,0,10
South Africa,403,167.83333333333334,2.4,-53,2,draw,Pakistan,Rawalpindi,1997-10-06,0,10
England,403,153.83333333333334,2.61,403,1,draw,West Indies,Bridgetown,1998-03-12,0,10
South Africa,403,138.0,2.92,281,2,won,England,Johannesburg,1999-11-25,1,9
Australia,403,127.66666666666669,3.15,12,2,won,West Indies,Adelaide,2000-12-15,0,10
Pakistan,403,96.66666666666669,4.16,403,1,won,England,Manchester,2001-05-31,0,10
Pakistan,403,131.5,3.06,225,2,won,Zimbabwe,Bulawayo,2002-11-16,0,10
Australia,403,103.5,3.89,95,2,won,Zimbabwe,Sydney,2003-10-17,0,10
Pakistan,403,141.16666666666666,2.85,164,2,won,Sri Lanka,Dubai (DSC),2011-10-26,0,10
New Zealand,403,156.0,2.58,403,1,draw,Pakistan,Dubai (DSC),2014-11-17,0,10
England,403,115.16666666666669,3.49,403,1,lost,Australia,Perth,2017-12-14,0,10
Sri Lanka,402,162.0,2.48,402,1,draw,Zimbabwe,Harare,1994-10-26,0,10
Australia,402,135.83333333333334,2.95,402,1,won,England,Perth,1995-02-03,0,10
South Africa,402,115.5,3.48,402,1,draw,Pakistan,Sheikhupura,1997-10-17,0,10
New Zealand,402,145.16666666666666,2.76,225,2,won,Bangladesh,Dhaka,2004-10-19,0,10
Australia,401,134.66666666666666,2.97,-191,2,draw,England,Perth,1986-11-28,0,10
Australia,401,191.83333333333331,2.09,177,2,won,West Indies,Sydney,1989-01-26,0,10
Pakistan,401,163.5,2.45,-79,2,draw,England,Lahore,2000-11-15,0,10
Australia,401,101.16666666666669,3.96,214,2,won,England,Lord's,2001-07-19,0,10
Pakistan,401,148.0,2.7,81,2,won,South Africa,Lahore,2003-10-17,0,10
Australia,401,115.16666666666669,3.48,401,1,won,Sri Lanka,Colombo (SSC),2004-03-24,0,10
Australia,401,107.0,3.74,332,3,won,India,Sydney,2008-01-02,1,7
Australia,401,94.0,4.26,560,3,won,England,Brisbane,2013-11-21,1,7
India,400,127.5,3.13,400,1,won,Sri Lanka,Cuttack,1987-01-04,0,10
India,400,126.0,3.17,460,3,won,South Africa,Kanpur,1996-12-08,1,7
Australia,400,141.16666666666666,2.83,400,1,draw,New Zealand,Hobart,1997-11-27,0,10
Australia,400,111.5,3.58,-24,2,won,India,Bengaluru,1998-03-25,0,10
Bangladesh,400,153.5,2.6,400,1,lost,India,Dhaka,2000-11-10,0,10
England,400,133.66666666666666,2.99,400,1,won,India,Wankhede,2006-03-18,0,10
England,400,100.0,4.0,113,2,won,West Indies,Chester-le-Street,2007-06-15,0,10
Sri Lanka,400,118.66666666666669,3.37,400,1,lost,England,Cardiff,2011-05-26,0,10
India,400,110.83333333333331,3.6,-68,3,lost,Australia,Sydney,2012-01-03,0,10
Pakistan,400,136.0,2.94,103,2,lost,England,Birmingham,2016-08-03,0,10
England,400,130.16666666666666,3.07,400,1,lost,India,Wankhede,2016-12-08,0,10
Pakistan,400,120.0,3.33,537,3,won,Australia,Abu Dhabi,2018-10-16,1,9
England,400,98.33333333333331,4.06,400,1,won,South Africa,Johannesburg,2020-01-24,0,10
West Indies,399,104.66666666666669,3.81,223,2,won,England,Port of Spain,1986-03-07,0,10
South Africa,399,115.33333333333331,3.45,568,3,won,West Indies,Centurion,1999-01-15,1,5
Pakistan,399,123.83333333333331,3.22,443,3,won,West Indies,Karachi,2006-11-27,1,6
England,399,110.66666666666669,3.6,399,1,draw,West Indies,North Sound,2015-04-13,0,10
Australia,399,126.83333333333331,3.14,399,1,won,West Indies,Kingston,2015-06-11,0,10
India,398,116.0,3.43,263,3,draw,Pakistan,Faisalabad,1989-11-23,0,7
Australia,398,114.83333333333331,3.46,398,1,draw,New Zealand,Perth,1993-11-12,0,10
Pakistan,398,102.16666666666669,3.89,398,1,draw,Sri Lanka,Lahore,1999-03-04,0,10
West Indies,398,139.0,2.86,145,2,draw,Pakistan,Bridgetown,2000-05-18,0,10
West Indies,398,105.33333333333331,3.77,146,3,lost,Australia,Georgetown,2003-04-10,0,10
Australia,398,100.33333333333331,3.96,398,1,won,India,Nagpur,2004-10-26,0,10
South Africa,398,166.83333333333334,2.38,51,2,won,West Indies,Port of Spain,2005-04-08,0,10
India,398,122.66666666666669,3.24,398,1,won,Sri Lanka,Ahmedabad,2005-12-18,0,10
England,398,113.5,3.5,155,2,won,West Indies,Lord's,2012-05-17,0,10
India,397,94.33333333333331,4.2,-177,2,tied,Australia,Chennai,1986-09-18,0,10
Sri Lanka,397,173.83333333333334,2.28,397,1,draw,New Zealand,Colombo (CCC),1987-04-16,1,9
West Indies,397,108.0,3.67,441,3,won,England,Lord's,1988-06-16,0,10
West Indies,397,118.16666666666669,3.35,97,2,won,England,Nottingham,1991-07-04,0,10
West Indies,397,136.83333333333334,2.9,218,2,won,England,Birmingham,2000-06-15,0,10
India,397,109.66666666666669,3.62,-170,4,lost,England,Lord's,2002-07-25,0,10
New Zealand,397,123.83333333333331,3.2,-96,4,lost,Sri Lanka,Colombo (SSC),2009-08-26,0,10
Australia,397,122.0,3.25,397,1,won,South Africa,Centurion,2014-02-12,0,10
South Africa,397,158.5,2.5,141,2,won,Zimbabwe,Harare,2014-08-09,0,10
Australia,396,179.5,2.2,-204,2,draw,India,Sydney,1986-01-02,0,10
Australia,396,108.0,3.66,200,2,won,West Indies,Perth,2000-12-01,1,8
Sri Lanka,396,134.33333333333334,2.94,147,2,won,India,Colombo (PSS),2008-08-08,0,10
England,396,88.16666666666667,4.49,289,2,won,India,Lord's,2018-08-09,1,7
Sri Lanka,396,96.0,4.12,396,1,lost,South Africa,Centurion,2020-12-26,0,10
Pakistan,395,187.5,2.1,395,1,draw,India,Ahmedabad,1987-03-04,0,10
Australia,395,100.5,3.93,-54,2,lost,West Indies,Perth,1988-12-02,1,8
Australia,395,153.0,2.58,395,1,won,West Indies,Melbourne,1992-12-26,0,10
Australia,395,122.0,3.23,468,3,won,England,Manchester,1997-07-03,1,8
India,395,140.5,2.81,-106,2,draw,West Indies,Georgetown,2002-04-11,0,7
West Indies,395,94.5,4.17,395,1,lost,England,Manchester,2004-08-12,0,10
West Indies,395,127.5,3.09,1,4,won,Bangladesh,Chattogram,2021-02-03,0,7
West Indies,394,113.66666666666669,3.46,227,2,won,Australia,Brisbane,1988-11-18,0,10
Sri Lanka,394,128.5,3.06,394,1,won,New Zealand,Colombo (SSC),1992-12-06,0,10
England,394,108.83333333333331,3.62,445,3,won,West Indies,Bridgetown,1994-04-08,1,7
West Indies,394,135.83333333333334,2.9,292,2,won,India,Bridgetown,2002-05-02,0,10
West Indies,394,132.83333333333334,2.96,-60,4,lost,England,Manchester,2007-06-07,0,10
Australia,394,113.66666666666669,3.46,394,1,lost,South Africa,Melbourne,2008-12-26,0,10
New Zealand,393,130.33333333333334,3.01,28,2,won,West Indies,Hamilton,1999-12-16,0,10
Pakistan,393,113.16666666666669,3.47,-14,2,lost,India,Eden Gardens,2005-03-16,0,10
England,393,127.83333333333331,3.07,393,1,draw,India,Nagpur,2006-03-01,0,10
Australia,393,96.5,4.07,102,2,won,England,Sydney,2007-01-02,0,10
New Zealand,393,103.33333333333331,3.8,250,2,won,Bangladesh,Wellington,2008-01-12,0,10
South Africa,393,167.0,2.35,47,3,draw,England,Lord's,2008-07-10,1,3
Sri Lanka,393,94.66666666666669,4.15,393,1,lost,India,Brabourne,2009-12-02,0,10
Pakistan,393,147.0,2.67,-10,2,draw,New Zealand,Dubai (DSC),2014-11-17,0,10
India,393,114.0,3.44,393,1,won,Sri Lanka,Colombo (PSS),2015-08-20,0,10
Pakistan,393,140.0,2.8,81,2,lost,West Indies,Bridgetown,2017-04-30,0,10
Pakistan,392,134.0,2.92,217,2,won,England,Lahore,1987-11-25,0,10
Pakistan,392,128.83333333333334,3.04,368,3,lost,Australia,Hobart,1999-11-18,0,10
West Indies,392,157.66666666666666,2.48,74,2,won,England,Kingston,2009-02-04,0,10
South Africa,392,116.0,3.37,392,1,won,Sri Lanka,Cape Town,2017-01-02,0,10
West Indies,391,124.66666666666669,3.13,371,3,draw,Pakistan,Port of Spain,1988-04-14,0,10
New Zealand,391,92.33333333333331,4.23,391,1,draw,India,Auckland,1990-02-22,0,10
Australia,391,125.83333333333331,3.1,391,1,won,England,Adelaide,1998-12-11,0,10
West Indies,391,128.83333333333334,3.03,391,1,lost,Australia,Adelaide,2000-12-15,0,10
Australia,391,115.33333333333331,3.39,391,1,lost,India,Chennai,2001-03-18,0,10
England,391,130.0,3.0,391,1,won,Pakistan,Lord's,2001-05-17,0,10
Zimbabwe,391,171.83333333333334,2.27,77,3,lost,South Africa,Harare,2001-09-07,0,10
Sri Lanka,391,134.0,2.91,-100,4,draw,Pakistan,Colombo (SSC),2009-07-20,0,4
Sri Lanka,391,124.66666666666669,3.13,-160,2,draw,Pakistan,Colombo (SSC),2012-06-30,0,10
Bangladesh,391,113.33333333333331,3.45,391,1,won,Zimbabwe,Harare,2013-04-25,0,10
India,391,123.0,3.17,352,3,draw,England,Nottingham,2014-07-09,1,9
England,391,85.33333333333333,4.58,331,2,won,Australia,Nottingham,2015-08-06,1,9
Sri Lanka,391,114.83333333333331,3.4,4,4,won,Zimbabwe,Colombo (RPS),2017-07-14,0,6
England,391,111.0,3.52,437,3,won,South Africa,Cape Town,2020-01-03,1,8
England,391,128.0,3.05,27,2,lost,India,Lord's,2021-08-12,0,10
England,390,116.5,3.34,390,1,draw,India,Birmingham,1986-07-03,0,10
India,390,139.83333333333334,2.78,0,2,draw,England,Birmingham,1986-07-03,0,10
England,390,100.66666666666669,3.87,-115,2,draw,Pakistan,Manchester,1992-07-02,0,10
Pakistan,390,126.33333333333331,3.08,390,1,won,Sri Lanka,Colombo (PSS),1994-08-09,0,10
New Zealand,390,131.83333333333334,2.95,390,1,draw,England,Auckland,1997-01-24,0,10
Australia,390,142.5,2.73,418,3,draw,Pakistan,Karachi,1998-10-22,0,10
Pakistan,390,152.16666666666666,2.56,219,3,lost,Sri Lanka,Rawalpindi,2000-02-26,0,10
West Indies,390,113.33333333333331,3.44,390,1,lost,Sri Lanka,Colombo (SSC),2001-11-29,0,10
Zimbabwe,389,152.5,2.55,389,1,won,Bangladesh,Harare,2013-04-17,0,10
England,389,100.83333333333331,3.85,389,1,won,New Zealand,Lord's,2015-05-21,0,10
England,388,90.83333333333331,4.27,101,2,draw,New Zealand,The Oval,1986-08-21,1,5
England,388,179.16666666666666,2.16,-17,2,won,Pakistan,Karachi,2000-12-07,0,10
South Africa,388,124.5,3.11,-162,2,draw,Australia,Adelaide,2012-11-22,0,10
Sri Lanka,388,134.0,2.89,223,2,won,Pakistan,Dubai (DSC),2014-01-08,0,10
West Indies,388,104.0,3.73,84,3,draw,India,Kingston,2016-07-30,0,6
Bangladesh,388,127.83333333333331,3.03,-299,2,lost,India,Hyderabad,2017-02-09,0,10
New Zealand,388,119.16666666666669,3.25,85,2,won,England,Birmingham,2021-06-10,0,10
Pakistan,387,143.83333333333334,2.69,303,3,draw,Australia,Adelaide,1990-01-19,1,9
India,387,128.5,3.01,-56,2,lost,West Indies,Mohali,1994-12-10,0,10
England,387,157.0,2.46,90,2,won,Sri Lanka,Kandy,2001-03-07,0,10
West Indies,387,151.0,2.56,-67,2,draw,South Africa,Bridgetown,2001-03-29,0,10
England,387,120.66666666666669,3.2,106,3,lost,Australia,Melbourne,2002-12-26,0,10
Australia,387,124.0,3.12,128,3,lost,England,Nottingham,2005-08-25,0,10
India,387,98.83333333333331,3.91,387,1,draw,Bangladesh,Chattogram,2007-05-18,1,8
West Indies,387,105.66666666666669,3.66,-87,4,lost,Australia,Bridgetown,2008-06-12,0,10
India,387,98.5,3.92,1,4,won,England,Chennai,2008-12-11,0,4
Sri Lanka,387,115.33333333333331,3.35,387,1,draw,West Indies,Colombo (RPS),2010-11-23,1,9
Bangladesh,387,91.16666666666669,4.24,387,1,lost,West Indies,Khulna,2012-11-21,0,10
New Zealand,386,177.0,2.18,269,3,draw,West Indies,Wellington,1987-02-20,1,5
Australia,386,135.33333333333334,2.85,386,1,draw,England,Adelaide,1991-01-25,0,10
Sri Lanka,386,95.83333333333331,4.02,425,3,draw,Pakistan,Colombo (SSC),1997-04-26,1,4
South Africa,386,104.66666666666669,3.68,194,2,won,Sri Lanka,Johannesburg,2002-11-08,0,10
New Zealand,386,102.66666666666669,3.75,386,1,lost,England,Lord's,2004-05-20,0,10
Sri Lanka,386,116.83333333333331,3.3,-53,3,lost,India,Colombo (SSC),2017-08-03,0,10
Sri Lanka,386,133.83333333333334,2.88,386,1,won,West Indies,Galle,2021-11-21,0,10
Sri Lanka,385,156.5,2.46,385,1,won,India,Colombo (PSS),1985-09-06,0,10
West Indies,385,132.83333333333334,2.89,142,3,lost,England,The Oval,1991-08-08,0,10
England,385,125.83333333333331,3.05,385,1,lost,South Africa,The Oval,2012-07-19,0,10
Australia,385,103.5,3.71,385,1,won,England,Perth,2013-12-13,0,10
Australia,385,103.0,3.73,320,3,draw,New Zealand,Perth,2015-11-13,1,7
West Indies,384,140.16666666666666,2.73,249,2,won,England,Manchester,1988-06-30,1,7
India,384,142.0,2.7,384,1,won,New Zealand,Bengaluru,1988-11-12,1,9
West Indies,384,123.83333333333331,3.1,95,2,won,India,Kingston,1989-04-28,0,10
West Indies,384,111.0,3.45,141,2,won,Australia,Perth,1997-02-01,0,10
South Africa,384,134.66666666666666,2.85,157,2,won,Australia,Centurion,1997-03-21,0,10
New Zealand,384,121.0,3.17,384,1,lost,England,Nottingham,2004-06-10,0,10
Australia,384,100.66666666666669,3.81,419,3,won,England,Lord's,2005-07-21,0,10
Sri Lanka,384,94.0,4.08,384,1,won,Bangladesh,Chattogram,2009-01-03,0,10
Sri Lanka,383,179.83333333333334,2.12,383,1,draw,Zimbabwe,Harare,1994-10-11,0,10
England,383,137.5,2.78,259,2,won,New Zealand,Wellington,1997-02-06,0,10
Australia,383,118.16666666666669,3.24,91,2,won,New Zealand,Auckland,2005-03-26,0,10
South Africa,383,97.5,3.92,195,2,won,New Zealand,Centurion,2007-11-16,0,10
West Indies,383,111.5,3.43,507,3,won,Bangladesh,Mirpur,2011-10-29,1,5
Pakistan,383,129.16666666666666,2.96,179,2,draw,Sri Lanka,Abu Dhabi,2013-12-31,0,10
Australia,383,121.16666666666669,3.16,124,2,won,South Africa,Adelaide,2016-11-24,0,10
India,382,104.16666666666669,3.66,382,1,won,West Indies,Chennai,1988-01-11,0,10
West Indies,382,97.0,3.93,369,3,won,Pakistan,Port of Spain,1993-04-16,0,10
England,382,146.5,2.6,382,1,draw,New Zealand,Manchester,1994-06-30,0,10
Zimbabwe,382,120.16666666666669,3.17,-227,2,draw,India,Nagpur,2000-11-25,0,10
Australia,382,80.83333333333333,4.72,143,2,won,South Africa,Cape Town,2002-03-08,0,10
Sri Lanka,382,126.66666666666669,3.01,382,1,draw,England,Kandy,2003-12-10,0,10
Bangladesh,382,110.33333333333331,3.46,159,3,lost,England,Lord's,2010-05-27,0,10
Pakistan,382,103.16666666666669,3.7,6,4,won,Sri Lanka,Pallekele,2015-07-03,0,3
South Africa,382,118.66666666666669,3.21,139,2,won,Australia,Gqeberha,2018-03-09,0,10
Australia,381,149.0,2.55,381,1,draw,India,Adelaide,1985-12-13,0,10
England,381,143.0,2.66,381,1,draw,South Africa,Centurion,1995-11-16,1,9
Pakistan,381,132.0,2.88,230,2,won,West Indies,Peshawar,1997-11-17,0,10
Australia,381,110.0,3.46,-58,4,draw,New Zealand,Perth,2001-11-30,0,7
Sri Lanka,381,136.66666666666666,2.78,161,2,lost,Australia,Galle,2004-03-08,0,10
Australia,381,90.83333333333331,4.19,381,1,won,Pakistan,Perth,2004-12-16,0,10
New Zealand,381,90.5,4.2,381,1,lost,England,Manchester,2008-05-23,0,10
Australia,381,125.66666666666669,3.03,175,3,won,Pakistan,Sydney,2010-01-03,0,10
West Indies,381,117.0,3.25,206,2,won,Zimbabwe,Roseau,2013-03-20,1,8
