Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
Australia,624,142.0,4.39,181,2,won,Pakistan,Melbourne,2016-12-26,1,8
India,622,158.0,3.93,622,1,won,Sri Lanka,Colombo (SSC),2017-08-03,1,9
India,622,167.33333333333334,3.71,622,1,draw,Australia,Sydney,2019-01-03,1,7
South Africa,621,200.16666666666663,3.1,621,1,draw,New Zealand,Auckland,1999-02-27,1,5
South Africa,621,142.16666666666666,4.36,225,2,won,Sri Lanka,Centurion,2020-12-26,0,10
South Africa,620,135.0,4.59,620,1,won,Pakistan,Cape Town,2003-01-02,1,7
England,620,152.0,4.07,375,2,won,Australia,Adelaide,2010-12-03,1,5
South Africa,620,130.16666666666666,4.76,484,2,won,India,Centurion,2010-12-16,1,4
New Zealand,619,154.66666666666666,4.0,619,1,draw,India,Napier,2009-03-26,1,9
Australia,617,174.0,3.54,366,2,won,Sri Lanka,Perth,1995-12-08,1,5
England,617,144.83333333333334,4.26,260,2,draw,India,Nottingham,2002-08-08,0,10
Pakistan,616,203.0,3.03,616,1,draw,New Zealand,Auckland,1989-02-24,1,5
India,616,152.83333333333334,4.03,616,1,draw,Pakistan,Eden Gardens,2007-11-30,1,5
New Zealand,615,201.0,3.05,262,2,won,England,Mount Maunganui,2019-11-21,1,9
India,613,161.0,3.8,613,1,draw,Australia,Delhi,2008-10-29,1,7
Sri Lanka,610,171.0,3.56,376,2,won,India,Colombo (SSC),2001-08-29,1,6
India,610,153.0,3.98,610,1,won,Bangladesh,Mirpur,2007-05-25,1,3
India,610,176.16666666666666,3.46,405,2,won,Sri Lanka,Nagpur,2017-11-24,1,6
India,609,155.83333333333334,3.9,609,1,draw,Zimbabwe,Nagpur,2000-11-25,1,6
New Zealand,609,153.16666666666666,3.97,609,1,draw,West Indies,Dunedin,2013-12-03,1,9
Australia,607,183.0,3.31,374,2,won,New Zealand,Brisbane,1993-12-03,1,6
India,606,173.0,3.5,606,1,draw,England,The Oval,1990-08-23,1,9
West Indies,606,184.66666666666663,3.28,103,2,draw,Australia,Sydney,1993-01-02,0,10
Sri Lanka,606,151.0,4.01,606,1,draw,Pakistan,Lahore,2009-03-01,0,10
Australia,605,154.5,3.91,605,1,won,West Indies,Bridgetown,2003-05-01,1,9
England,604,162.0,3.72,120,2,won,South Africa,The Oval,2003-09-04,1,9
South Africa,604,158.0,3.82,604,1,won,West Indies,Centurion,2004-01-16,1,6
Australia,604,157.0,3.84,604,1,won,India,Adelaide,2012-01-24,1,7
India,603,165.66666666666666,3.63,15,2,draw,Pakistan,Faisalabad,2006-01-21,0,10
India,603,210.0,2.87,152,2,draw,Australia,Ranchi,2017-03-16,1,9
Australia,602,206.5,2.91,602,1,won,England,Nottingham,1989-08-10,1,6
Australia,602,155.0,3.88,602,1,won,England,Brisbane,2006-11-23,1,9
Australia,601,178.5,3.36,601,1,won,England,Leeds,1989-06-08,1,7
India,601,156.5,3.84,601,1,won,South Africa,Pune,2019-10-10,1,5
India,600,169.0,3.55,600,1,draw,Australia,Sydney,1986-01-02,1,4
Pakistan,600,175.33333333333334,3.42,419,2,won,Sri Lanka,Galle,2000-06-21,1,8
South Africa,600,139.0,4.31,600,1,won,Zimbabwe,Harare,2001-09-07,1,3
India,600,177.33333333333334,3.38,376,2,won,Pakistan,Rawalpindi,2004-04-13,0,10
Sri Lanka,600,162.0,3.7,600,1,won,India,Colombo (SSC),2008-07-23,1,6
England,600,153.33333333333334,3.91,600,1,draw,West Indies,Bridgetown,2009-02-26,1,6
India,600,133.16666666666666,4.5,600,1,won,Sri Lanka,Galle,2017-07-26,0,10
Australia,599,174.0,3.44,599,1,draw,Pakistan,Peshawar,1998-10-15,1,4
Pakistan,599,140.16666666666666,4.27,606,3,won,India,Karachi,2006-01-29,1,7
England,599,138.5,4.32,599,1,won,Bangladesh,Chattogram,2010-03-12,1,6
England,598,206.0,2.9,75,2,draw,Pakistan,Abu Dhabi,2015-10-13,1,9
England,595,134.0,4.44,260,2,won,Australia,Birmingham,1985-08-15,1,5
New Zealand,595,148.83333333333334,3.99,299,2,won,South Africa,Auckland,2004-03-18,0,10
Bangladesh,595,152.0,3.91,595,1,lost,New Zealand,Wellington,2017-01-12,1,8
Pakistan,594,184.83333333333331,3.21,363,2,won,Sri Lanka,Dhaka,1999-03-12,0,10
South Africa,594,145.0,4.09,594,1,draw,England,Birmingham,2003-07-24,1,5
Pakistan,594,176.83333333333334,3.35,459,2,won,Bangladesh,Chattogram,2011-12-09,1,5
